persona,class_type,credit_price,current_streak,social_score,days_since_last_booking,prob,booked
Balanced Burner,Heated Mat Pilates,20,77,0.41149741659484507,15,0.36782690626858117,0
Mindful Muse,Lagree,10,44,0.6939392509875839,23,0.30822636950292603,0
Pilates Princess,Heated Mat Pilates,10,36,0.46054081194441765,25,0.34530766759080345,0
Mindful Muse,HIIT,7,95,0.9987847957617085,2,0.7129006851050813,1
Mindful Muse,Yoga Sculpt,10,14,0.42668488133218696,15,0.526144621065821,1
HIIT Hustler,Boxing,8,57,0.37225368470073683,0,0.5672588803226957,1
Pilates Princess,Reformer Pilates,18,26,0.891730711375708,5,0.6650465242552006,0
Pilates Princess,Lagree,12,80,0.12137299223751874,2,0.598852587001835,0
Pilates Princess,Lagree,14,97,0.07647001724573521,27,0.2795358734792933,0
Mindful Muse,Boxing,18,90,0.4704304731123051,14,0.30750113713353716,0
Balanced Burner,Reformer Pilates,15,90,0.9896320466065142,6,0.43705807574923977,0
Pilates Princess,Heated Mat Pilates,20,7,0.35715148522809803,22,0.18445903350950002,0
Boxing Baddie,Reformer Pilates,18,47,0.6949355727570378,28,0.1456005123848238,0
Mindful Muse,Yoga Sculpt,17,25,0.48736974950424994,5,0.533685869526149,0
HIIT Hustler,HIIT,19,77,0.7149224576020625,29,0.2657051798299256,1
Balanced Burner,Reformer Pilates,11,8,0.34184762808310154,9,0.3346015281012006,1
Boxing Baddie,Reformer Pilates,17,75,0.9011945771888404,17,0.31337177755886536,1
Boxing Baddie,HIIT,17,14,0.09507864524064435,20,0.1316485476926663,0
HIIT Hustler,Boxing,16,97,0.8059336534192104,2,0.48519934924015473,1
Balanced Burner,Lagree,15,85,0.07922766437500517,12,0.2991745440438202,0
Mindful Muse,Boxing,17,11,0.990951736012014,3,0.3899269463397908,0
Lagree Loyalist,Yoga Sculpt,12,88,0.193120523270649,25,0.35660555773580405,0
Balanced Burner,Boxing,17,32,0.3814401918138599,2,0.3350197306624987,1
HIIT Hustler,Reformer Pilates,12,3,0.3970736488673089,15,0.23687705416595195,0
Boxing Baddie,Reformer Pilates,12,4,0.9747103209263313,28,0.1770235458240796,0
Mindful Muse,Lagree,19,15,0.021306225725735817,10,0.21057257939570567,1
Balanced Burner,Yoga Sculpt,9,52,0.26222407545388726,13,0.3702060925526967,1
Lagree Loyalist,HIIT,11,44,0.5790852307492549,17,0.4426167330652538,0
Lagree Loyalist,HIIT,12,67,0.5649499415426675,6,0.6022789823387524,1
Pilates Princess,Heated Mat Pilates,19,18,0.18969097275770863,1,0.4048842950657981,1
Pilates Princess,Yoga Sculpt,15,12,0.44604395532118535,4,0.47078879698290027,0
HIIT Hustler,Yoga Sculpt,20,2,0.02192450574830851,24,0.08475534124977736,0
Balanced Burner,Reformer Pilates,20,4,0.7913756574394429,17,0.1554358875965617,0
Balanced Burner,Heated Mat Pilates,19,14,0.13197263486997457,27,0.1884048985689194,0
Boxing Baddie,HIIT,17,90,0.16591235727716658,21,0.22845710146673054,0
Boxing Baddie,Yoga Sculpt,20,32,0.43235414942287853,27,0.10472220057210282,0
Boxing Baddie,Yoga Sculpt,16,83,0.834775211394404,6,0.4711290522297808,0
